date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:18	3583/3583	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Feb%202023%2021:27:18%20GMT	https://opytex.com.br/robots.txt		(from )
18:27:18	44020/44020	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:18%20GMT	https://opytex.com.br/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/index.html	(from )
18:27:19	2744/2744	---MCZ	200	added ('OK')	text/xml	etag:W/%2261d36238-ab8%22	https://opytex.com.br/media/sitemap.xml	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/sitemap.xml	(from https://opytex.com.br/)
18:27:19	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261d3626c-47e%22	https://opytex.com.br/media/static/favicon/favicon.ico	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/favicon/favicon.ico	(from https://opytex.com.br/)
18:27:19	178046/178046	---M--	200	added ('OK')	image/jpeg	etag:%2261d36238-2b77e%22	https://opytex.com.br/media/opytex.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/opytex.jpg	(from https://opytex.com.br/)
18:27:19	26985/26985	---M-Z	200	added ('OK')	application/javascript	etag:W/%226969-PYk6WU7wXAXPX7qrRZSTVytMicQ%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	C:/Users/opytex-note-1/Documents/opytex/cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	(from https://opytex.com.br/)
18:27:20	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2022%20Feb%202023%2021:27:20%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/opytex-note-1/Documents/opytex/www.google.com/recaptcha/api.js	(from https://opytex.com.br/)
18:27:20	65359/65359	---MCZ	200	added ('OK')	text/css	etag:W/%2261d3626a-ff4f%22	https://opytex.com.br/media/static/css/main.css?cb=1601493945154	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/css/main88f1.css	(from https://opytex.com.br/)
18:27:21	8120/8120	---MCZ	200	added ('OK')	text/css	etag:W/%225d1fb35a-1fb8%22	https://alternativaverdesolar.com.br/media/static/css/lightslider.css	C:/Users/opytex-note-1/Documents/opytex/alternativaverdesolar.com.br/media/static/css/lightslider.css	(from https://opytex.com.br/)
18:27:21	7819/7819	---M--	200	added ('OK')	image/png	etag:%2261d36288-1e8b%22	https://opytex.com.br/media/static/img/opytex-logo.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/opytex-logo.png	(from https://opytex.com.br/)
18:27:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:22%20GMT	https://opytex.com.br/sobre	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/sobre	(from https://opytex.com.br/)
18:27:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:22%20GMT	https://opytex.com.br/produtos	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/produtos	(from https://opytex.com.br/)
18:27:22	28384/28384	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:22%20GMT	https://opytex.com.br/sobre/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/sobre/index.html	(from https://opytex.com.br/)
18:27:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:22%20GMT	https://opytex.com.br/blog	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog	(from https://opytex.com.br/)
18:27:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:23%20GMT	https://opytex.com.br/material	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/material	(from https://opytex.com.br/)
18:27:22	761/761	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36274-2f9%22	https://opytex.com.br/media/static/img/arrow-icon.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/arrow-icon.svg	(from https://opytex.com.br/)
18:27:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:23%20GMT	https://opytex.com.br/contato	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/contato	(from https://opytex.com.br/)
18:27:23	1402/1402	---M--	200	added ('OK')	image/png	etag:%2261d36278-57a%22	https://opytex.com.br/media/static/img/linkedin-icon.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/linkedin-icon.png	(from https://opytex.com.br/)
18:27:23	53246/53246	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:23%20GMT	https://opytex.com.br/produtos/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/produtos/index.html	(from https://opytex.com.br/)
18:27:23	3951/3951	---M--	200	added ('OK')	image/png	etag:%2261d3628a-f6f%22	https://opytex.com.br/media/static/img/instagram-icon.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/instagram-icon.png	(from https://opytex.com.br/)
18:27:23	3962/3962	---M--	200	added ('OK')	image/png	etag:%2261d36276-f7a%22	https://opytex.com.br/media/static/img/facebook-icon.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/facebook-icon.png	(from https://opytex.com.br/)
18:27:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2021:27:24%20GMT	https://opytex.com.br/parcerias	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/parcerias	(from https://opytex.com.br/)
18:27:24	563/563	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36282-233%22	https://opytex.com.br/media/static/img/linkedin-xd.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/linkedin-xd.svg	(from https://opytex.com.br/)
18:27:24	823/823	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36284-337%22	https://opytex.com.br/media/static/img/instagram-xd.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/instagram-xd.svg	(from https://opytex.com.br/)
18:27:24	24582/24582	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:24%20GMT	https://opytex.com.br/blog/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/blog/index.html	(from https://opytex.com.br/)
18:27:24	1130/1130	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36280-46a%22	https://opytex.com.br/media/static/img/facebook-xd.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/facebook-xd.svg	(from https://opytex.com.br/)
18:27:25	1042/1042	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36280-412%22	https://opytex.com.br/media/static/img/whatsapp-gray-icon.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/whatsapp-gray-icon.svg	(from https://opytex.com.br/)
18:27:25	17568/17568	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:25%20GMT	https://opytex.com.br/material/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/material/index.html	(from https://opytex.com.br/)
18:27:25	22560/22560	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:25%20GMT	https://opytex.com.br/contato/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/contato/index.html	(from https://opytex.com.br/)
18:27:25	23528/23528	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2021:27:26%20GMT	https://opytex.com.br/parcerias/	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/parcerias/index.html	(from https://opytex.com.br/)
18:27:25	430/430	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36286-1ae%22	https://opytex.com.br/media/static/img/mail-icon.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/mail-icon.svg	(from https://opytex.com.br/)
18:27:26	1939/1939	---M--	200	added ('OK')	image/png	etag:%2261d36288-793%22	https://opytex.com.br/media/static/img/Arrow-icon.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/Arrow-icon.png	(from https://opytex.com.br/)
18:27:26	452/452	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d36294-1c4%22	https://opytex.com.br/media/static/img/strip-line1.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/strip-line1.svg	(from https://opytex.com.br/)
18:27:26	537/537	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d3626e-219%22	https://opytex.com.br/media/static/img/light-blue-dot.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/light-blue-dot.svg	(from https://opytex.com.br/)
18:27:26	5039/5039	---M--	200	added ('OK')	image/png	etag:%2261d3627c-13af%22	https://opytex.com.br/media/static/img/opytex-2.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/opytex-2.png	(from https://opytex.com.br/)
18:27:27	2531/2531	---M--	200	added ('OK')	image/png	etag:%2261d3635e-9e3%22	https://opytex.com.br/media/uploads/produtos/icone/icone_shop.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/icone_shop.png	(from https://opytex.com.br/)
18:27:27	385121/385121	---M--	200	added ('OK')	image/png	etag:%2261d36356-5e061%22	https://opytex.com.br/media/uploads/produtos/thumbnail/shop.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/shop.png	(from https://opytex.com.br/)
18:27:28	406377/406377	---M--	200	added ('OK')	image/png	etag:%2261d36358-63369%22	https://opytex.com.br/media/uploads/produtos/thumbnail/gourmet.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/gourmet.png	(from https://opytex.com.br/)
18:27:28	2964/2964	---M--	200	added ('OK')	image/png	etag:%2261d36360-b94%22	https://opytex.com.br/media/uploads/produtos/icone/iconegourmet.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/iconegourmet.png	(from https://opytex.com.br/)
18:27:28	3431/3431	---M--	200	added ('OK')	image/png	etag:%2261d36360-d67%22	https://opytex.com.br/media/uploads/produtos/icone/icone_touch.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/icone_touch.png	(from https://opytex.com.br/)
18:27:29	293843/293843	---M--	200	added ('OK')	image/png	etag:%2261d3635c-47bd3%22	https://opytex.com.br/media/uploads/produtos/thumbnail/mobile.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/mobile.png	(from https://opytex.com.br/)
18:27:29	2436/2436	---M--	200	added ('OK')	image/png	etag:%2261d36364-984%22	https://opytex.com.br/media/uploads/produtos/icone/iconemobile.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/iconemobile.png	(from https://opytex.com.br/)
18:27:30	3810/3810	---M--	200	added ('OK')	image/png	etag:%2261d36366-ee2%22	https://opytex.com.br/media/uploads/produtos/icone/iconesale.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/iconesale.png	(from https://opytex.com.br/)
18:27:30	371322/371322	---M--	200	added ('OK')	image/png	etag:%2261d36354-5aa7a%22	https://opytex.com.br/media/uploads/produtos/thumbnail/sale.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/sale.png	(from https://opytex.com.br/)
18:27:30	251952/251952	---M--	200	added ('OK')	image/png	etag:%2261d3635a-3d830%22	https://opytex.com.br/media/uploads/produtos/thumbnail/service.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/service.png	(from https://opytex.com.br/)
18:27:31	3416/3416	---M--	200	added ('OK')	image/png	etag:%2261d36362-d58%22	https://opytex.com.br/media/uploads/produtos/icone/icone_service.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/icone/icone_service.png	(from https://opytex.com.br/)
18:27:31	366183/366183	---M--	200	added ('OK')	image/png	etag:%2261d36356-59667%22	https://opytex.com.br/media/uploads/produtos/thumbnail/tocuh.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/produtos/thumbnail/tocuh.png	(from https://opytex.com.br/)
18:27:31	2869/2869	---M--	200	added ('OK')	image/jpeg	etag:%2261d3627e-b35%22	https://opytex.com.br/media/static/img/amazon-logo.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/amazon-logo.jpg	(from https://opytex.com.br/)
18:27:31	9937/9937	---M--	200	added ('OK')	image/png	etag:%2261d3627e-26d1%22	https://opytex.com.br/media/static/img/autentica_certificado.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/autentica_certificado.png	(from https://opytex.com.br/)
18:27:31	4959/4959	---M--	200	added ('OK')	image/png	etag:%2261d36276-135f%22	https://opytex.com.br/media/static/img/elgin.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/elgin.png	(from https://opytex.com.br/)
18:27:32	8177/8177	---M--	200	added ('OK')	image/png	etag:%2261d3628c-1ff1%22	https://opytex.com.br/media/static/img/epson.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/epson.png	(from https://opytex.com.br/)
18:27:32	2184/2184	---M--	200	added ('OK')	image/jpeg	etag:%2261d36282-888%22	https://opytex.com.br/media/static/img/google-logo.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/google-logo.jpg	(from https://opytex.com.br/)
18:27:32	11127/11127	---M--	200	added ('OK')	image/png	etag:%2261d36290-2b77%22	https://opytex.com.br/media/static/img/sweda.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/sweda.png	(from https://opytex.com.br/)
18:27:32	3859/3859	---M--	200	added ('OK')	image/png	etag:%2261d3627a-f13%22	https://opytex.com.br/media/static/img/users-silhouette.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/users-silhouette.png	(from https://opytex.com.br/)
18:27:32	3292/3292	---M--	200	added ('OK')	image/png	etag:%2261d36288-cdc%22	https://opytex.com.br/media/static/img/pc-settings.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/pc-settings.png	(from https://opytex.com.br/)
